hotel,numero,type,capacite,prix,vue,statut,date_creation,date_update
6956e0fd33e2abe4be8bd2b2,108,SUITE,3,157,cour intérieure,OCCUPEE,2026-01-01 21:02:53.724,2026-01-01 21:02:53.724
6956e0fd33e2abe4be8bd2b2,109,DOUBLE,2,384,mer,OCCUPEE,2026-01-01 21:02:53.725,2026-01-01 21:02:53.725
6956e0fd33e2abe4be8bd2b2,210,SUITE,3,148,montagne,OCCUPEE,2026-01-01 21:02:53.727,2026-01-01 21:02:53.727
6956e0fd33e2abe4be8bd2b2,201,SIMPLE,1,183,montagne,MAINTENANCE,2026-01-01 21:02:53.728,2026-01-01 21:02:53.728
6956e0fd33e2abe4be8bd2b2,202,DOUBLE,2,190,montagne,OCCUPEE,2026-01-01 21:02:53.729,2026-01-01 21:02:53.729
6956e0fd33e2abe4be8bd2b2,203,DELUXE,4,180,ville,OCCUPEE,2026-01-01 21:02:53.729,2026-01-01 21:02:53.729
6956e0fd33e2abe4be8bd2b2,204,DOUBLE,2,377,cour intérieure,OCCUPEE,2026-01-01 21:02:53.730,2026-01-01 21:02:53.730
6956e0fd33e2abe4be8bd2b2,205,DOUBLE,2,241,montagne,MAINTENANCE,2026-01-01 21:02:53.732,2026-01-01 21:02:53.732
6956e0fd33e2abe4be8bd2b2,206,SUITE,3,256,panoramique,DISPONIBLE,2026-01-01 21:02:53.733,2026-01-01 21:02:53.733
6956e0fd33e2abe4be8bd2b2,207,DOUBLE,2,221,cour intérieure,MAINTENANCE,2026-01-01 21:02:53.734,2026-01-01 21:02:53.734
6956e0fd33e2abe4be8bd2b2,208,SUITE,3,159,cour intérieure,DISPONIBLE,2026-01-01 21:02:53.735,2026-01-01 21:02:53.735
6956e0fd33e2abe4be8bd2b2,209,DOUBLE,2,160,mer,MAINTENANCE,2026-01-01 21:02:53.736,2026-01-01 21:02:53.736
6956e0fd33e2abe4be8bd2b2,310,SIMPLE,1,258,jardin,OCCUPEE,2026-01-01 21:02:53.737,2026-01-01 21:02:53.737
6956e0fd33e2abe4be8bd2b2,301,SUITE,3,280,jardin,DISPONIBLE,2026-01-01 21:02:53.738,2026-01-01 21:02:53.738
6956e0fd33e2abe4be8bd2b2,302,SIMPLE,1,424,mer,MAINTENANCE,2026-01-01 21:02:53.739,2026-01-01 21:02:53.739
6956e0fd33e2abe4be8bd2b2,303,SIMPLE,1,377,montagne,OCCUPEE,2026-01-01 21:02:53.740,2026-01-01 21:02:53.740
6956e0fd33e2abe4be8bd2b2,304,DOUBLE,2,430,mer,OCCUPEE,2026-01-01 21:02:53.740,2026-01-01 21:02:53.740
6956e0fd33e2abe4be8bd2b2,305,SIMPLE,1,365,ville,MAINTENANCE,2026-01-01 21:02:53.741,2026-01-01 21:02:53.741
6956e0fd33e2abe4be8bd2b2,306,DELUXE,4,375,mer,OCCUPEE,2026-01-01 21:02:53.742,2026-01-01 21:02:53.742
6956e0fd33e2abe4be8bd2b2,307,SUITE,3,458,jardin,MAINTENANCE,2026-01-01 21:02:53.743,2026-01-01 21:02:53.743
6956e0fd33e2abe4be8bd2b2,308,SUITE,3,135,montagne,DISPONIBLE,2026-01-01 21:02:53.744,2026-01-01 21:02:53.744
6956e0fd33e2abe4be8bd2b2,309,SUITE,3,247,panoramique,DISPONIBLE,2026-01-01 21:02:53.745,2026-01-01 21:02:53.745
6956e0fd33e2abe4be8bd2b2,410,DOUBLE,2,450,jardin,DISPONIBLE,2026-01-01 21:02:53.746,2026-01-01 21:02:53.746
6956e0fd33e2abe4be8bd2b2,401,DELUXE,4,463,montagne,DISPONIBLE,2026-01-01 21:02:53.747,2026-01-01 21:02:53.747
6956e0fd33e2abe4be8bd2b4,101,DOUBLE,2,157,cour intérieure,MAINTENANCE,2026-01-01 21:02:53.748,2026-01-01 21:02:53.748
6956e0fd33e2abe4be8bd2b4,102,DELUXE,4,86,montagne,DISPONIBLE,2026-01-01 21:02:53.748,2026-01-01 21:02:53.748
6956e0fd33e2abe4be8bd2b4,103,DELUXE,4,140,ville,MAINTENANCE,2026-01-01 21:02:53.749,2026-01-01 21:02:53.749
6956e0fd33e2abe4be8bd2b4,104,SUITE,3,420,cour intérieure,DISPONIBLE,2026-01-01 21:02:53.750,2026-01-01 21:02:53.750
6956e0fd33e2abe4be8bd2b4,105,DOUBLE,2,271,panoramique,DISPONIBLE,2026-01-01 21:02:53.751,2026-01-01 21:02:53.751
6956e0fd33e2abe4be8bd2b4,106,DOUBLE,2,239,cour intérieure,MAINTENANCE,2026-01-01 21:02:53.752,2026-01-01 21:02:53.752
6956e0fd33e2abe4be8bd2b4,107,SIMPLE,1,154,jardin,DISPONIBLE,2026-01-01 21:02:53.755,2026-01-01 21:02:53.755
6956e0fd33e2abe4be8bd2b4,108,DOUBLE,2,484,jardin,MAINTENANCE,2026-01-01 21:02:53.756,2026-01-01 21:02:53.756
6956e0fd33e2abe4be8bd2b4,109,DELUXE,4,484,jardin,DISPONIBLE,2026-01-01 21:02:53.758,2026-01-01 21:02:53.758
6956e0fd33e2abe4be8bd2b4,210,DOUBLE,2,183,panoramique,DISPONIBLE,2026-01-01 21:02:53.759,2026-01-01 21:02:53.759
6956e0fd33e2abe4be8bd2b4,201,DELUXE,4,142,montagne,MAINTENANCE,2026-01-01 21:02:53.761,2026-01-01 21:02:53.761
6956e0fd33e2abe4be8bd2b4,202,SUITE,3,336,montagne,MAINTENANCE,2026-01-01 21:02:53.762,2026-01-01 21:02:53.762
6956e0fd33e2abe4be8bd2b4,203,SIMPLE,1,493,montagne,MAINTENANCE,2026-01-01 21:02:53.764,2026-01-01 21:02:53.764
6956e0fd33e2abe4be8bd2b4,204,SIMPLE,1,360,jardin,OCCUPEE,2026-01-01 21:02:53.765,2026-01-01 21:02:53.765
6956e0fd33e2abe4be8bd2b4,205,DELUXE,4,202,panoramique,OCCUPEE,2026-01-01 21:02:53.766,2026-01-01 21:02:53.766
6956e0fd33e2abe4be8bd2b4,206,SUITE,3,401,ville,DISPONIBLE,2026-01-01 21:02:53.767,2026-01-01 21:02:53.767
6956e0fd33e2abe4be8bd2b4,207,SUITE,3,352,montagne,DISPONIBLE,2026-01-01 21:02:53.768,2026-01-01 21:02:53.768
6956e0fd33e2abe4be8bd2b4,208,DELUXE,4,241,montagne,OCCUPEE,2026-01-01 21:02:53.770,2026-01-01 21:02:53.770
6956e0fd33e2abe4be8bd2b4,209,SIMPLE,1,386,ville,OCCUPEE,2026-01-01 21:02:53.772,2026-01-01 21:02:53.772
6956e0fd33e2abe4be8bd2b4,310,SIMPLE,1,372,montagne,DISPONIBLE,2026-01-01 21:02:53.773,2026-01-01 21:02:53.773
6956e0fd33e2abe4be8bd2b4,301,SIMPLE,1,367,ville,MAINTENANCE,2026-01-01 21:02:53.774,2026-01-01 21:02:53.774
6956e0fd33e2abe4be8bd2b4,302,DOUBLE,2,484,ville,OCCUPEE,2026-01-01 21:02:53.775,2026-01-01 21:02:53.775
6956e0fd33e2abe4be8bd2b4,303,SUITE,3,461,panoramique,MAINTENANCE,2026-01-01 21:02:53.775,2026-01-01 21:02:53.775
6956e0fd33e2abe4be8bd2b4,304,DELUXE,4,211,panoramique,MAINTENANCE,2026-01-01 21:02:53.776,2026-01-01 21:02:53.776
6956e0fd33e2abe4be8bd2b4,305,DOUBLE,2,369,mer,OCCUPEE,2026-01-01 21:02:53.777,2026-01-01 21:02:53.777
6956e0fd33e2abe4be8bd2b4,306,SIMPLE,1,158,cour intérieure,MAINTENANCE,2026-01-01 21:02:53.778,2026-01-01 21:02:53.778
6956e0fd33e2abe4be8bd2b4,307,SUITE,3,476,cour intérieure,DISPONIBLE,2026-01-01 21:02:53.778,2026-01-01 21:02:53.778
6956e0fd33e2abe4be8bd2b6,101,SUITE,3,239,ville,DISPONIBLE,2026-01-01 21:02:53.779,2026-01-01 21:02:53.779
6956e0fd33e2abe4be8bd2b6,102,SUITE,3,118,jardin,DISPONIBLE,2026-01-01 21:02:53.780,2026-01-01 21:02:53.780
6956e0fd33e2abe4be8bd2b6,103,SUITE,3,175,montagne,OCCUPEE,2026-01-01 21:02:53.781,2026-01-01 21:02:53.781
6956e0fd33e2abe4be8bd2b6,104,DELUXE,4,265,ville,DISPONIBLE,2026-01-01 21:02:53.782,2026-01-01 21:02:53.782
6956e0fd33e2abe4be8bd2b6,105,DELUXE,4,420,ville,DISPONIBLE,2026-01-01 21:02:53.783,2026-01-01 21:02:53.783
6956e0fd33e2abe4be8bd2b6,106,SIMPLE,1,450,mer,OCCUPEE,2026-01-01 21:02:53.784,2026-01-01 21:02:53.784
6956e0fd33e2abe4be8bd2b6,107,SIMPLE,1,326,panoramique,MAINTENANCE,2026-01-01 21:02:53.785,2026-01-01 21:02:53.785
6956e0fd33e2abe4be8bd2b6,108,DOUBLE,2,162,jardin,OCCUPEE,2026-01-01 21:02:53.786,2026-01-01 21:02:53.786
6956e0fd33e2abe4be8bd2b6,109,SIMPLE,1,489,montagne,MAINTENANCE,2026-01-01 21:02:53.786,2026-01-01 21:02:53.786
6956e0fd33e2abe4be8bd2b6,210,SUITE,3,383,montagne,MAINTENANCE,2026-01-01 21:02:53.787,2026-01-01 21:02:53.787
6956e0fd33e2abe4be8bd2b6,201,SUITE,3,370,cour intérieure,OCCUPEE,2026-01-01 21:02:53.788,2026-01-01 21:02:53.788
6956e0fd33e2abe4be8bd2b6,202,SUITE,3,196,cour intérieure,DISPONIBLE,2026-01-01 21:02:53.789,2026-01-01 21:02:53.789
6956e0fd33e2abe4be8bd2b6,203,SIMPLE,1,343,panoramique,OCCUPEE,2026-01-01 21:02:53.790,2026-01-01 21:02:53.790
6956e0fd33e2abe4be8bd2b6,204,DOUBLE,2,122,jardin,MAINTENANCE,2026-01-01 21:02:53.791,2026-01-01 21:02:53.791
6956e0fd33e2abe4be8bd2b6,205,DOUBLE,2,496,jardin,DISPONIBLE,2026-01-01 21:02:53.792,2026-01-01 21:02:53.792
6956e0fd33e2abe4be8bd2b6,206,SIMPLE,1,347,ville,DISPONIBLE,2026-01-01 21:02:53.792,2026-01-01 21:02:53.792
6956e0fd33e2abe4be8bd2b6,207,SIMPLE,1,107,ville,OCCUPEE,2026-01-01 21:02:53.793,2026-01-01 21:02:53.793
6956e0fd33e2abe4be8bd2b6,208,DELUXE,4,331,montagne,DISPONIBLE,2026-01-01 21:02:53.794,2026-01-01 21:02:53.794
6956e0fd33e2abe4be8bd2b6,209,DELUXE,4,167,panoramique,MAINTENANCE,2026-01-01 21:02:53.795,2026-01-01 21:02:53.795
6956e0fd33e2abe4be8bd2b6,310,SIMPLE,1,269,mer,MAINTENANCE,2026-01-01 21:02:53.795,2026-01-01 21:02:53.795
6956e0fd33e2abe4be8bd2b6,301,SIMPLE,1,397,montagne,OCCUPEE,2026-01-01 21:02:53.796,2026-01-01 21:02:53.796
6956e0fd33e2abe4be8bd2b6,302,SIMPLE,1,88,cour intérieure,OCCUPEE,2026-01-01 21:02:53.797,2026-01-01 21:02:53.797
6956e0fd33e2abe4be8bd2b6,303,DELUXE,4,141,jardin,DISPONIBLE,2026-01-01 21:02:53.798,2026-01-01 21:02:53.798
6956e0fd33e2abe4be8bd2b6,304,SIMPLE,1,388,cour intérieure,MAINTENANCE,2026-01-01 21:02:53.798,2026-01-01 21:02:53.798
6956e0fd33e2abe4be8bd2b6,305,SUITE,3,277,montagne,DISPONIBLE,2026-01-01 21:02:53.799,2026-01-01 21:02:53.799
6956e0fd33e2abe4be8bd2b8,101,DOUBLE,2,234,montagne,MAINTENANCE,2026-01-01 21:02:53.800,2026-01-01 21:02:53.800
6956e0fd33e2abe4be8bd2b8,102,DOUBLE,2,375,montagne,OCCUPEE,2026-01-01 21:02:53.802,2026-01-01 21:02:53.802
6956e0fd33e2abe4be8bd2b8,103,SUITE,3,137,mer,DISPONIBLE,2026-01-01 21:02:53.804,2026-01-01 21:02:53.804
6956e0fd33e2abe4be8bd2b8,104,DOUBLE,2,371,ville,OCCUPEE,2026-01-01 21:02:53.805,2026-01-01 21:02:53.805
6956e0fd33e2abe4be8bd2b8,105,SUITE,3,436,jardin,DISPONIBLE,2026-01-01 21:02:53.806,2026-01-01 21:02:53.806
6956e0fd33e2abe4be8bd2b8,106,DOUBLE,2,161,mer,MAINTENANCE,2026-01-01 21:02:53.807,2026-01-01 21:02:53.807
6956e0fd33e2abe4be8bd2b8,107,SUITE,3,154,panoramique,MAINTENANCE,2026-01-01 21:02:53.808,2026-01-01 21:02:53.808
6956e0fd33e2abe4be8bd2b8,108,DELUXE,4,140,ville,OCCUPEE,2026-01-01 21:02:53.809,2026-01-01 21:02:53.809
6956e0fd33e2abe4be8bd2b8,109,DELUXE,4,196,ville,OCCUPEE,2026-01-01 21:02:53.809,2026-01-01 21:02:53.809
6956e0fd33e2abe4be8bd2b8,210,SIMPLE,1,416,montagne,OCCUPEE,2026-01-01 21:02:53.810,2026-01-01 21:02:53.810
6956e0fd33e2abe4be8bd2b8,201,SIMPLE,1,383,mer,OCCUPEE,2026-01-01 21:02:53.811,2026-01-01 21:02:53.811
6956e0fd33e2abe4be8bd2b8,202,DOUBLE,2,455,cour intérieure,OCCUPEE,2026-01-01 21:02:53.811,2026-01-01 21:02:53.811
6956e0fd33e2abe4be8bd2b8,203,DELUXE,4,296,panoramique,OCCUPEE,2026-01-01 21:02:53.812,2026-01-01 21:02:53.812
6956e0fd33e2abe4be8bd2b8,204,DOUBLE,2,220,montagne,DISPONIBLE,2026-01-01 21:02:53.813,2026-01-01 21:02:53.813
6956e0fd33e2abe4be8bd2b8,205,DOUBLE,2,316,mer,OCCUPEE,2026-01-01 21:02:53.814,2026-01-01 21:02:53.814
